"","unlistTitulosgenero","Freq","unlistTitulostitulos","Freq","Var1","Freq"
"236","Género(s):AccióNComediaDramaEcchiPsicolóGicoRomance",1,"Bokura ga Tsugai ni Naru Made",1,"2353",3
"237","Género(s):AccióNComediaDramaEcchiRomanceEscolarCiencia FiccióNShounenDeportesSobrenatural",2,"Bokura no Kiseki",1,"2354",1
"238","Género(s):AccióNComediaDramaFantasíAArtes MarcialesRomance",1,"Bokura No Koi Wa Shi Ni Itaru Yamai No You De",2,"2357",1
"239","Género(s):AccióNComediaDramaFantasíAArtes MarcialesWebcomic",1,"Bokura no mitsudomoe sensou",1,"2360",2
"240","Género(s):AccióNComediaDramaFantasíAEscolarShounenSobrenatural",1,"Bokura to Usagi no Koi wa Sensou",1,"2362",1
"241","Género(s):AccióNComediaDramaFantasíAMisterioRomanceShojoSobrenaturalTragediaVida Escolar",1,"Bokura wa Minna Kawaisou",1,"2364",1
"242","Género(s):AccióNComediaDramaFantasíARomanceRecuentos De La Vida",1,"Bokutachi no Ikita Riyuu",1,"2365",2
"243","Género(s):AccióNComediaDramaFantasíASuper Poderes",1,"Bokutachi wa Shitte Shimatta",1,"2572",2
"244","Género(s):AccióNComediaDramaGender BenderArtes MarcialesRomanceEscolarShojo",1,"Boruto",1,"2573",1
"245","Género(s):AccióNComediaDramaHistóRicoCiencia FiccióNShounen",1,"Bousou Shojo",1,"2574",2
"246","Género(s):AccióNComediaDramaHistóRicoHorrorMisterioPsicolóGicoShounenSobrenaturalTragedia",1,"Boy Concubine",1,"2576",2
"247","Género(s):AccióNComediaDramaHorrorGoreMisterio",1,"Boy Skirt",1,"2580",1
"248","Género(s):AccióNComediaDramaHorrorMagiaPsicolóGicoSobrenaturalSuspenseTragediaVida Escolar",1,"Boyfriend of the dead",1,"2581",1
"249","Género(s):AccióNComediaDramaMisterioPsicolóGicoRomanceShonen",1,"Brawling Go!",2,"2582",2
"250","Género(s):AccióNComediaDramaRecuentos De La VidaRomanceYaoi",3,"Break The World",1,"2584",1
"251","Género(s):AccióNComediaDramaRomanceShojoVida Escolar",2,"Bright and Cheery Amnesia",2,"2587",1
"252","Género(s):AccióNComediaDramaRomanceYaoi",2,"Brilli",1,"2588",1
"253","Género(s):AccióNComediaEcchiFantasíAHaremMagiaRomanceShonenSobrenaturalVida Escolar",1,"Brother (yaoi)",1,"2590",1
"254","Género(s):AccióNComediaEcchiFantasíAHaremRomanceShonenSobrenaturalVida Escolar",2,"Bu Jia Zongcai Jia Nan Pu",1,"2593",2
"255","Género(s):AccióNComediaEcchiFantasíAHistóRicoRomanceTragedia",2,"Buddy Go!",1,"2595",1
"256","Género(s):AccióNComediaEcchiFantasíAHorrorPsicolóGicoSobrenatural",1,"BUILDER",1,"2599",1
"257","Género(s):AccióNComediaEcchiFantasíARomanceShonenSobrenaturalTragedia",1,"Bukiyou na Silent (yaoi)",1,"2602",1
"258","Género(s):AccióNComediaEcchiHaremCiencia FiccióN",1,"Busamen Danshi",1,"2605",1
"259","Género(s):AccióNComediaEcchiHaremFantasíAVida Escolar",1,"Busou Shoujo Machiavellianism",3,"2606",1
"260","Género(s):AccióNComediaEcchiMaduroRomanceSeinenVida Escolar",1,"Butterfly",1,"2607",1
"261","Género(s):AccióNComediaEcchiRomanceVida EscolarCiencia FiccióN",1,"Buyuden",2,"2610",1
"262","Género(s):AccióNComediaEcchiSeinenSobrenatural",2,"By My Side",1,"2611",1
"263","Género(s):AccióNComediaEscolarCiencia FiccióNShounen",2,"Cage of Eden",1,"2612",1
"264","Género(s):AccióNComediaEscolarCiencia FiccióNShounenSobrenatural",1,"Can't Lose You",1,"2658",1
"265","Género(s):AccióNComediaEscolarShounenDeportes",2,"Cant See Cant Hear But Love",1,"2660",1
"266","Género(s):AccióNComediaFantasíAAventuraReencarnacióN",3,"Captura de Miel",1,"2665",1
"267","Género(s):AccióNComediaFantasíAEcchiVida Escolar",1,"Caramel Honey",1,"2666",1
"268","Género(s):AccióNComediaFantasíAEscolarCiencia FiccióNShounen",1,"Card Captor Sakura Hentai",2,"2668",1
"269","Género(s):AccióNComediaFantasíAGender BenderMagiaRomance",1,"Cartoon: Campamento sherwood",1,"2669",1
"270","Género(s):AccióNComediaFantasíAHarem",1,"Caste Heaven",1,"2670",2
"271","Género(s):AccióNComediaFantasíAHaremRomanceEscolarSeinenSobrenatural",2,"castehate",1,"2674",1
"272","Género(s):AccióNComediaFantasíAHistóRico ShonenSobrenatural",1,"Catboy catday",1,"2678",3
"273","Género(s):AccióNComediaFantasíAMisterioShojoSobrenatural",1,"Caterpillar",1,"2679",1
"274","Género(s):AccióNComediaFantasíAShonen",2,"Centro Perfeccion Para La Guia Sexual",1,"2680",2
"275","Género(s):AccióNComediaGender BenderArtes MarcialesRomanceEscolarShojo",1,"Change 123",1,"2683",1
"276","Género(s):AccióNComediaGender BenderShonenVida Escolar",1,"Chaosic Rune",2,"2684",1
"277","Género(s):AccióNComediaHaremRomanceSuper PoderesVida Escolar",1,"Chaotic Sword God",2,"2687",1
"278","Género(s):AccióNComediaHorrorSobrenaturalVampiros",2,"Charai Hayama ni Kyun to Kita",1,"2688",1
"279","Género(s):AccióNComediaMisterioEscolarShounen",2,"Chasing star Moom",1,"2698",1
"280","Género(s):AccióNComediaRecuentos De La VidaShonen",1,"Cheers!",2,"2700",2
"281","Género(s):AccióNComediaRomanceEscolarShojo",1,"Cheonsaeng Yeonbun",1,"2701",1
"282","Género(s):AccióNComediaRomanceMagiaFantasíA",1,"Cherry Boy That Girl",2,"2702",2
"283","Género(s):AccióNComediaShonenSobrenatural",1,"Chicas De Alquiler",1,"2703",2
"284","Género(s):AccióNComediaSobrenaturalVida Escolar",1,"chicchai toki kara suki dakedo",2,"2704",2
"285","Género(s):AccióNComediaSuper Poderes",1,"Chichi Chichi",1,"2707",5
"286","Género(s):AccióNComediaVida Escolar",1,"Chikotan- Kowareru",2,"2708",1
"287","Género(s):AccióNComediaVida EscolarGender Bender",1,"Chikyuu no Owari wa Koi no Hajimari",1,"2710",1
"288","Género(s):AccióNCyberpunkDramaHorrorMaduroMisterio",1,"CHIO-CHAN NO TSUUGAKURO",1,"2711",1
"289","Género(s):AccióNDramaComediaArtes MarcialesRomance",1,"Chitose etc",2,"2712",1
"290","Género(s):AccióNDramaEcchiHorrorMisterioPsicolóGicoRomanceShonenTragedia",2,"Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin",2,"2714",1
"291","Género(s):AccióNDramaEcchiMaduroRomanceEscolarCiencia FiccióNSeinenSobrenaturalTragedia",2,"Chocolate girl",1,"2716",1
"292","Género(s):AccióNDramaFantasíAHaremRomanceVida Escolar",1,"Chocolate Vampire",1,"2718",1
"293","Género(s):AccióNDramaFantasíAHistóRicoRomanceShonen",1,"Chuan Yue Xi Yuan 3000 Hou",1,"2719",1
"294","Género(s):AccióNDramaFantasíAHorrorMisterioShounenSobrenaturalTragedia",1,"Chunqing Yatou Huolala",1,"2720",1
"295","Género(s):AccióNDramaFantasíAHorrorPsicolóGicoTragedia",1,"Cinderella plot",2,"2721",3
"296","Género(s):AccióNDramaFantasíAMagiaRomanceVampiros",1,"Circle",1,"2723",1
"297","Género(s):AccióNDramaFantasíARomanceEscolarShojoSobrenatural",1,"Circle Zero's Otherworldly Hero Business",1,"2728",1
"298","Género(s):AccióNDramaHistóRicoReencarnacióNSobrenaturalMilitar",1,"Cita a Ciegas",1,"2735",1
"299","Género(s):AccióNDramaHorrorMisterioPsicolóGicoSeinenSobrenaturalTragedia",1,"Citrus -Saburouta-",2,"2737",2
"300","Género(s):AccióNDramaMaduroRomanceEscolarSeinenSobrenaturalTragedia",2,"Ciudad salvaje",1,"2738",1
"301","Género(s):AccióNDramaMaduroRomanceYaoi",1,"Classi9",1,"2917",2
"302","Género(s):AccióNDramaMisterioSeinen",2,"claymore",1,"2921",1
"303","Género(s):AccióNDramaMisterioYaoi (Soft)",1,"Clockwork Planet",1,"2923",1
"304","Género(s):AccióNDramaRecuentos De La VidaDeportesComediaYaoi (Soft)",1,"Club Privado y Social del Sexo Libre (Kyonyu Wakaduma Nakadashi Club)",2,"2926",1
"305","Género(s):AccióNDramaRomanceYaoi",2,"Club Sodom",1,"2927",2
"306","Género(s):AccióNDramaShonenSobrenatural",1,"Código Desconocido",1,"2931",3
"307","Género(s):AccióNDramaSuperpoderesSupervivenciaCiencia FiccióNAventura",1,"Coffe & Vanilla",2,"2934",1
"308","Género(s):AccióNDramaVida Escolar",1,"Cohabitation",1,"2936",2
"309","Género(s):AccióNDramaYaoi",1,"Colette wa Shinu Koto ni Shita",2,"2940",1
"310","Género(s):AccióNEcchiAventuraComediaFantasíA Artes Marciales",1,"Color Recipe",1,"2941",2
"311","Género(s):AccióNEcchiAventuraHaremRomanceFantasíA",1,"Combat Continent",1,"2943",1
"312","Género(s):AccióNEcchiComedia",2,"Combat Continent (Doulou Dalu)",2,"2944",1
"313","Género(s):AccióNEcchiComediaSobrenaturalRomance",1,"Committee Chairman, Didn't You Just Masturbate In the Bathroom? I Can See the Number of Times People Orgasm",2,"2945",1
"314","Género(s):AccióNEcchiFantasíA",2,"Company of Heroes",2,"2946",2
"315","Género(s):AccióNEcchiFantasíAHaremMechaRecuentos De La VidaRomanceShonenSobrenatural",1,"Con el tiempo- llegare a ser tuya",1,"2947",1
"316","Género(s):AccióNEcchiHaremGoreDemoniosSobrenatural",2,"Conociéndole",2,"2949",1
"317","Género(s):AccióNEcchiHorrorMisterioPsicolóGicoRomanceShonenSuspenseTragediaVida Escolar",2,"Corpse Party Musume",2,"2952",2
"318","Género(s):AccióNEcchiHorrorMisterioPsicolóGicoRomanceShounenSobrenaturalTragedia",1,"Corred hermanas",2,"2958",1
"319","Género(s):AccióNEcchiHorrorSeinenSobrenaturalTragedia",1,"Cosmic boy",1,"3028",1
"320","Género(s):AccióNEcchiMisterioPsicolóGicoCiencia FiccióN",1,"Cosplay Deka",1,"3029",1
"321","Género(s):AccióNEcchiPsicolóGicoSeinenSobrenatural",1,"Crawling Dreams",1,"3035",1
"322","Género(s):AccióNEcchiRomanceHaremFantasíACiencia FiccióN",1,"Crepuscule",2,"3036",1
"323","Género(s):AccióNFantasíAAventura",2,"Criando a un Demonio",1,"3037",1
"324","Género(s):AccióNFantasíAComediaSobrenaturalArtes MarcialesMagia",1,"CRIMINALE!",2,"3044",1
"325","Género(s):AccióNFantasíAGender BenderJoseiMisterioPsicolóGicoRomanceEscolarSobrenatural",1,"Critical Lovers",1,"3045",1
"326","Género(s):AccióNFantasíAGoreRomance",1,"Crónicas de Lin Fei",1,"3047",1
"327","Género(s):AccióNFantasíAHaremReencarnacióN",1,"Cross Account",1,"3050",1
"328","Género(s):AccióNFantasíAHistóRicoArtes MarcialesSeinen",2,"Cross and Crime",1,"3051",1
"329","Género(s):AccióNFantasíAHistóRicoSeinenSobrenatural",2,"CRY FOR ME",2,"3055",1
"330","Género(s):AccióNFantasíAHorrorGore",1,"Cuidar de mi ama de llaves",3,"3058",1
"331","Género(s):AccióNFantasíAHorrorMisterioSobrenaturalSuspense",1,"Cupid's Chocolate",2,"3059",2
"332","Género(s):AccióNFantasíAMagiaMilitarHistóRico",1,"Cupid no Itazura Nijidama",1,"3060",2
"333","Género(s):AccióNFantasíARomanceSeinen",1,"Cutie boy",1,"3061",1
"334","Género(s):AccióNFantasíAShonen",2,"Cyclops Shoujo Saipuu",1,"3062",1
"335","Género(s):AccióNHorrorPsicolóGicoShounenTragedia",1,"D-Frag",1,"3063",2
"336","Género(s):AccióNHorrorVida EscolarSobrenatural",1,"Dagashi Kashi",1,"3066",1
"337","Género(s):AccióNMisterioPsicolóGicoCiencia FiccióNShounen",2,"Daily witch",1,"3070",1
"338","Género(s):AccióNMisterioSeinenSobrenatural",2,"Dakara Ore ni Shina yo",1,"3072",1
"339","Género(s):AccióNPsicolóGicoRomanceEscolarShounenSobrenatural",1,"Dakaretai Otoko 1-i ni Odosarete Imasu",1,"3073",1
"340","Género(s):AccióNRomanceShojoSobrenaturalVida Escolar",1,"Dakaretai Otoko Ichii ni Odosarete Imasu-",1,"3075",1
"341","Género(s):AccióNSobrenaturalTragedia",1,"Dame na Kanojo wa Amaetai",1,"3076",2
"342","Género(s):AccióNVampirosMisterioSobrenatural",1,"Dame na Watashi ni Koishite Kudasai",1,"3077",1
"343","Género(s):ActionAdultDramaEcchiHorrorMysteryPsychologicalSeinenTragedy",1,"Dame na Yatsu Hodo Kawaii",1,"3078",1
"344","Género(s):ActionAdventureComedyEcchiFantasyHaremMartial ArtsRomance School LifeSci-FiShounenSupernatural",1,"Danberu nan kiro moteru?",1,"3082",1
"345","Género(s):ActionAdventureComedyEcchiFantasyHaremMartial ArtsRomanceSchool LifeSci-FiShounenSupernatural",1,"Danchigai",2,"3083",1
"346","Género(s):ActionComedyEcchiSci-FiSeinenSupernatural",2,"dangan ball-(Dragon Ball Hentai)",2,"3086",3
"347","Género(s):Adult",2,"Danganronpa Gaiden: Killer Killer",1,"3087",1
"348","Género(s):AdultEcchiGender BenderHorrorMysteryPsychologicalSchool LifeSeinen SupernaturalTragedy",1,"Danshi Koukousei wo Yashinaitai Onee-san no Hanashi",1,"3091",1
"349","Género(s):AdventureComedyDramaHarem HistoricalMartial ArtsRomanceShoujo",1,"Danshi Koukouseiteki Kazoku Keikaku!",3,"3092",2
"350","Género(s):ApocalíPticoCiencia FiccióNVida Escolar",1,"Dark Air",1,"3093",1
"351","Género(s):ApocalíPticoDramaShonen-Ai (Yaoi Soft)SobrenaturalRecuentos De La Vida",1,"DARK GAME",2,"3099",1
"352","Género(s):Artes MarcialesAccióNAventura",1,"Dark loli",2,"3101",1
"353","Género(s):Artes MarcialesDeportesDrama",1,"DARLING !!",1,"3102",1
"354","Género(s):AventuraAccióNDramaEcchiFantasíAHaremTragedia",1,"darling wa namamono ni tsuki",2,"3108",2
"355","Género(s):AventuraAccióNFantasíAArtes Marciales",1,"Darwin's Game",1,"3109",2
"356","Género(s):AventuraAccióNFantasíAHaremMagiaSobrenatural",1,"Datte Maou-sama wa Kare ga Kirai",2,"3112",3
"357","Género(s):AventuraCiencia FiccióNComediaFantasíAMagiaRealidad Virtual",1,"Datte mou Suki ni natchattashi",1,"3113",1
"358","Género(s):AventuraComediaDramaFantasíAHaremRealidad VirtualRomance",2,"Days",1,"3116",2
"359","Género(s):AventuraComediaDramaFantasíARecuentos De La VidaSobrenatural",1,"De Habitación a Habitación",1,"3117",3
"360","Género(s):AventuraComediaEcchiFantasíARomance",1,"Dead Tube",1,"3120",1
"361","Género(s):AventuraComediaEcchiHaremMagiaFantasíA",1,"Dear- Only You Dont Know!",1,"3121",1
"362","Género(s):AventuraComediaFantasíA",3,"Dear Boy",1,"3122",1
"363","Género(s):AventuraComediaFantasíAGender Bender",1,"Dear Brother!",1,"3123",2
"364","Género(s):AventuraComediaFantasíAHaremMagiaMecha",1,"Dear My Teacher",1,"3124",1
"365","Género(s):AventuraComediaFantasíAMagia",2,"Death Note",2,"3125",1
"366","Género(s):AventuraComediaFantasíAShonen",2,"Deceptions",1,"3128",3
"367","Género(s):AventuraComediaHaremFantasíARomanceAccióNDrama",1,"Defense Devil",1,"3129",1
"368","Género(s):AventuraComediaRecuentos De La VidaRomanceVida Escolar",2,"Dekisokonai no Monster Trainer",2,"3132",2
"369","Género(s):AventuraDemoniosComediaDramaFantasíA HistóRico",1,"Delivery Cinderella",1,"3133",1
"370","Género(s):AventuraDemoniosComediaDramaFantasíAHistóRico",1,"Delivery Knights",1,"3134",2
"371","Género(s):AventuraDemoniosComediaMagiaSobrenatural",1,"Denpa Kyoushi",1,"3135",2
"372","Género(s):AventuraDemoniosFantasíAArtes Marciales",1,"Densetsu no Yuusha no Konkatsu",1,"3136",1
"373","Género(s):AventuraDramaFantasíASobrenaturalTragedia",2,"Deri Pocha - Yajuu no H na Gohan",1,"3137",1
"374","Género(s):AventuraDramaMaduroRomanceYaoi",1,"Descenso del Fénix (Descent of the Phoenix)",1,"3140",1
"375","Género(s):AventuraDramaMusicalRomanceYaoi",1,"Deshonesta Honestidad",1,"3148",1
"376","Género(s):AventuraDramaRomanceShojoVida Escolar",1,"Desire Climax",1,"3150",3
"377","Género(s):AventuraEcchiFantasíAHaremRomanceSeinen",1,"Detain",1,"3157",2
"378","Género(s):AventuraEcchiHorrorMaduroRomanceEscolarSeinenSobrenatural",2,"Detective conan",1,"3158",2
"379","Género(s):AventuraFantasíAArtes Marciales",1,"Detente en la luz roja",1,"3159",1
"380","Género(s):AventuraFantasíAHaremReencarnacióNWebcomic",1,"DEVIL´S LINE",1,"3162",2
"381","Género(s):AventuraFantasíAHaremRomanceReencarnacióN",1,"Devilchi",2,"3163",2
"382","Género(s):AventuraFantasíAHistóRicoArtes MarcialesRomance",1,"Diabolik lovers Anthology",1,"3165",1
"383","Género(s):AventuraFantasíANiñOsMagiaReencarnacióNTragedia",2,"Diamond no Ace - Acto II",1,"3168",2
"384","Género(s):AventuraFantasíARomanceShojo",1,"Diamond No Ace Second Season",1,"3171",4
"385","Género(s):AventuraHistóRicoFantasíAComediaRomanceHarem",2,"Dice: el cubo que lo cambia todo·",3,"3172",1
"386","Género(s):AventuraJoseiRomance",1,"Dihao laogong tai kuangre",1,"3173",1
"387","Género(s):AventuraReencarnacióNMagia",1,"DistopiA ~Mikansei na Sekai~",1,"3175",1
"388","Género(s):AventuraRomanceFantasíAHistóRico",1,"Divine Bells",1,"3176",1
"389","Género(s):AventuraSobrenatural",1,"DO IT ONE MORE TIME",1,"3177",1
"390","Género(s):BL (Boys Love)",5,"DO S Obake ga nekasete kure nai",1,"3178",2
"391","Género(s):BL (Boys Love)ComediaRomanceRecuentos De La Vida",2,"Do S Obake ga Nekasete Kurenai",1,"3179",1
"392","Género(s):BL (Boys Love)DramaVida EscolarRomance",1,"do you remember Mogwa",1,"3180",5
"393","Género(s):BL (Boys Love)DramaVida EscolarRomanceComedia",1,"Dogeza De Tanondemita",1,"3182",5
"394","Género(s):BL (Boys Love)MusicalRecuentos De La VidaVida Escolar",1,"Dokgo Rewind",1,"3183",1
"395","Género(s):BL (Boys Love)Romance",1,"Dokunie Cooking",1,"3184",2
"396","Género(s):BL (Boys Love)RomanceEcchi",1,"Dolkara",1,"3185",2
"397","Género(s):BL (Boys Love)RomanceParodia",1,"Dolly Kill Kill",1,"3186",2
"398","Género(s):BL (Boys Love)RomanceRecuentos De La VidaDrama",1,"Domestic na Kanojo",2,"3188",6
"399","Género(s):BL (Boys Love)RomanceRecuentos De La VidaVida Escolar",1,"DORIDOSIM",1,"3189",2
"400","Género(s):Boys Love",2,"Double Baby",1,"3190",3
"401","Género(s):Boys LoveComediaDramaRealidadRomanceRecuentos De La Vida",1,"DOUBLE DATE",1,"3191",1
"402","Género(s):Boys LoveComediaDramaRomanceWebcomic",1,"doujins one piece",1,"3193",1
"403","Género(s):Boys LoveComediaFamiliaRomance",1,"Douse Mou Nigerarenai",1,"3194",1
"404","Género(s):Boys LoveComediaNiñOsRomanceRecuentos De La VidaWebcomic",1,"Dr- Duo",2,"3195",3
"405","Género(s):Boys LoveComediaRomanceVida Escolar",1,"Dr.Stone",3,"3196",1
"406","Género(s):Boys LoveComediaRomanceWebcomic",3,"Dragon Ball",1,"3197",1
"407","Género(s):Boys LoveComediaWebcomic",2,"Dragon Ball Multiverse",1,"3201",1
"408","Género(s):Boys LoveDramaFantasíAMilitarRomanceSobrenatural",1,"Dragon Ball Super",2,"3204",2
"409","Género(s):Boys LoveDramaPsicolóGicoRomanceWebcomic",1,"Dragon head",1,"3207",1
"410","Género(s):Boys LoveDramaRomanceWebcomic",1,"dragon road (dragon ball hentai)",1,"3208",1
"411","Género(s):Boys LoveFantasíAMagiaRomanceVida EscolarWebcomic",2,"DRAMATIC IRONY",1,"3214",2
"412","Género(s):Boys LoveFantasíARomanceWebcomic",1,"Drifters",2,"3215",1
"413","Género(s):Boys LoveMisterioRomanceSobrenaturalWebcomic",1,"Drinking Virgin",1,"3219",1
"414","Género(s):Boys LoveRomanceSobrenaturalWebcomic",1,"Drug Candy",1,"3220",1
"415","Género(s):Boys LoveRomanceVida Escolar",1,"Drunken Temptation",1,"3221",3
"416","Género(s):Boys LoveRomanceWebcomic",1,"DULCE TRAMPA",1,"3222",1
"417","Género(s):Ciencia FiccióNAccióNSuspenseYaoi (Soft)",1,"Dulces Mordidas",1,"3223",1
"418","Género(s):Ciencia FiccióNComediaDramaMisterioRomanceShonenSobrenatural",1,"DUNGEON KURASHI NO MOTO YUUSHA",1,"3224",1
"419","Género(s):Ciencia FiccióNComediaEcchiHaremRomanceShonenSobrenaturalVida Escolar",1,"Dungeon ni Deai o Motomer...",1,"3225",1
"420","Género(s):Ciencia FiccióNComediaEcchiMaduro",1,"Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka",2,"3226",1
"421","Género(s):Ciencia FiccióNDramaHistóRicoMisterioSeinen Suspense",1,"Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka Gaiden - Sword Oratoria",2,"3227",2
"422","Género(s):Ciencia FiccióNDramaHorror",2,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka - Familia Chronicle Episode Ryuu",1,"3229",1
"423","Género(s):Ciencia FiccióNDramaHorrorPsicolóGicoSobrenatural",2,"DUNGEON NURSERY",1,"3230",1
"424","Género(s):Ciencia FiccióNDramaRomanceShonenSobrenaturalVida Escolar",1,"Dungeon Seeker",3,"3232",1
"425","Género(s):Ciencia FiccióNEcchiHaremRomanceShonen Vida Escolar",1,"Dusk Howler",1,"3233",2
"426","Género(s):Comedia DramaFantasíARomanceShojo",1,"E? Heibon Desu yo??",2,"3234",1
"427","Género(s):ComediaArtes Marciales",1,"Ecchi Houkago",1,"3235",1
"428","Género(s):ComediaArtes MarcialesHistóRicoRomance",1,"Eden's Zero",1,"3238",1
"429","Género(s):ComediaAventuraHaremRomanceMagiaFantasíA",1,"Eden No Hara",1,"3239",1
"430","Género(s):ComediaAventuraMagiaFantasíAEcchi",1,"Eiyuu Kyoushitsu",1,"3247",1
"431","Género(s):ComediaCiencia FiccióNGender BenderRecuentos De La Vida",1,"El Amante Dragon Haou Airen",1,"3251",1
"432","Género(s):ComediaCiencia FiccióNMecha",2,"EL AMOR ES UNA ILUSIÓN!",1,"3260",1
"433","Género(s):ComediaCiencia FiccióNRecuentos De La VidaShojo-Ai (Yuri Soft)Vida Escolar",1,"El amor no está a la altura de los comics de odio",1,"3263",1
"434","Género(s):ComediaDemoniosFantasíARomanceDrama",1,"El chico de las entregas",1,"3267",1
"435","Género(s):ComediaDeportesDramaEcchiRomanceSeinenVida Escolar",2,"El chico del Diablo",1,"3269",1
"436","Género(s):ComediaDeportesDramaHaremRomanceShojoVida Escolar ",1,"El comienzo después del final.",1,"3272",1
"437","Género(s):ComediaDeportesDramaRecuentos De La VidaShonenVida Escolar",1,"El Creador Del Rey",2,"3274",1
"438","Género(s):ComediaDeportesDramaRomanceShonenVida Escolar",1,"El Diablo y S-13",1,"3277",1
"439","Género(s):ComediaDeportesEcchiShonenVida Escolar",1,"El diario de Purimu",2,"3279",1
"440","Género(s):ComediaDeportesHaremRomanceSeinen",1,"El diario de sexo de mi madre indecente",1,"3284",1
"441","Género(s):ComediaDeportesRomanceShojoVida Escolar",1,"El Dr.Chu también quiere enamorarse",1,"3288",1
"442","Género(s):ComediaDeportesSeinenVida Escolar",1,"EL EMPERADOR ES GAY",1,"3292",1
"443","Género(s):ComediaDeportesShonenVida Escolar",1,"El Entrenamiento de Naruto por parte de Tsunade",1,"3358",1
"444","Género(s):ComediaDramaArtes MarcialesMaduroRomanceEscolarShojo",1,"el escudo olvidado.",1,"3359",1
"445","Género(s):ComediaDramaArtes MarcialesRomanceEscolarShounenSobrenatural",1,"el gran plan mi esposa es una estudiante de preparatoria",1,"3361",1
"446","Género(s):ComediaDramaEcchiFantasíAHaremRomanceSeinen",1,"El héroe del rey demonio",1,"3363",1
"447","Género(s):ComediaDramaEcchiGender BenderRomanceSeinenVida Escolar",2,"El Legendario Escultor de la Luz Lunar",1,"3366",2
"448","Género(s):ComediaDramaEcchiGender BenderRomanceSeinenVida Escolar ",1,"El Niño y El Lobo",1,"3374",1
"449","Género(s):ComediaDramaEcchiHaremRecuentos De La VidaRomanceSeinen",1,"El Novio del Dios del Dolor",1,"3375",2
"450","Género(s):ComediaDramaEcchiHaremRecuentos De La VidaRomanceSeinenSobrenatural",2,"El Primer Dulce Amor",1,"3376",1
"451","Género(s):ComediaDramaEcchiHaremRomance ShonenVida Escolar",1,"El Rey del Purgatorio",1,"3379",3
"452","Género(s):ComediaDramaEcchiHaremRomanceEscolarSeinen",1,"El Sacerdote Nuolin",1,"3380",1
"453","Género(s):ComediaDramaEcchiMaduroRecuentos De La VidaRomance",2,"El secreto del oficinista Kim",1,"3387",1
"454","Género(s):ComediaDramaEcchiMaduroRomanceEscolarSeinen",1,"El séptimo jonrón",2,"3390",2
"455","Género(s):ComediaDramaEcchiMaduroRomanceEscolarSeinenVida Cotidiana",2,"EL TOQUE SUAVE DE KYUNGSOO",1,"3392",1
"456","Género(s):ComediaDramaEcchiMaduroRomanceSeinen",2,"El Vampiro y el Cazador.",2,"3397",1
"457","Género(s):ComediaDramaEcchiRecuentos De La VidaRomanceSeinenTragedia",1,"elDLIVE",2,"3398",1
"458","Género(s):ComediaDramaEcchiRecuentos De La VidaRomanceSeinenVida Escolar",1,"Elektel Delusion",1,"3400",3
"459","Género(s):ComediaDramaEcchiRecuentos De La VidaRomanceShonenVida Escolar",1,"Elfen Lied",2,"3405",1
"460","Género(s):ComediaDramaEcchiRomanceEscolarSeinenVida CotidianaSobrenatural",1,"Elixir",1,"3406",2
"461","Género(s):ComediaDramaEcchiRomanceShonenSobrenatural",2,"Emocionante Experimento Clínico <U+2665>",1,"3538",2
"462","Género(s):ComediaDramaEcchiSeinenVida Escolar",2,"Empress Game: Make-up Master",1,"3539",2
"463","Género(s):ComediaDramaEcchiShonenVida Escolar",1,"En diciembre",1,"3540",1
"464","Género(s):ComediaDramaEscolarShounenDeportes",3,"En Garde",1,"3543",1
"465","Género(s):ComediaDramaEscolarShounenVida Cotidiana",1,"Eoleunnalaui Alice",1,"3546",1
"466","Género(s):ComediaDramaFantasíA",1,"Epic of Gilgamesh",2,"3548",2
"467","Género(s):ComediaDramaFantasíAGender BenderHistóRicoMisterioShojo",1,"Erma de Bandon Santiago",1,"3551",1
"468","Género(s):ComediaDramaFantasíAHistóRicoRomanceShojo",1,"Ero x Roma",1,"3552",1
"469","Género(s):ComediaDramaFantasíAMisterio",1,"Eroman - Kami to Pen to Sex to!!",1,"3557",1
"470","Género(s):ComediaDramaFantasíARomanceRecuentos De La Vida",2,"Erotic Fairy Tales: Little Mermaid",2,"3560",1
"471","Género(s):ComediaDramaGender BenderHaremRomanceEscolarShojoVida Cotidiana",1,"Erotic Fairy Tales: Red Riding Hood",1,"3561",1
"472","Género(s):ComediaDramaGender BenderRomanceEscolarShojo ",2,"Es una chica de secundaria",2,"3565",1
"473","Género(s):ComediaDramaGender BenderRomanceEscolarShojoSobrenatural",3,"Escape al Olvido",1,"3566",1
"474","Género(s):ComediaDramaHaremHistóRicoRomanceShojo",1,"Everyday Lily",1,"3567",1
"475","Género(s):ComediaDramaHaremRomanceEcchi",2,"Evil Dragon Reincarnation",2,"3570",1
"476","Género(s):ComediaDramaHaremRomanceEscolarShounenVida Cotidiana",1,"Evyione",1,"3571",2
"477","Género(s):ComediaDramaHistóRicoRecuentos De La VidaRomanceShonen",1,"EXPRESION INMADURA",1,"3575",1
"478","Género(s):ComediaDramaHorrorRomanceEscolarShounenSobrenatural",2,"Eyeshield 21",1,"3579",1
